station,date,prcp,tobs
USC00513117,15/12/2013,0,69
USC00513117,16/12/2013,1.31,68
USC00513117,17/12/2013,0.01,68
USC00513117,18/12/2013,0.01,72
USC00513117,19/12/2013,1,70
USC00513117,20/12/2013,0.41,72
USC00513117,21/12/2013,0.01,75
USC00513117,22/12/2013,0.02,69
USC00513117,23/12/2013,0.02,72
USC00513117,24/12/2013,0.01,73
USC00513117,25/12/2013,0.02,73
USC00513117,26/12/2013,0.02,72
USC00513117,27/12/2013,0,73
USC00513117,28/12/2013,0.02,74
USC00513117,29/12/2013,0.03,73
USC00513117,30/12/2013,0,72
USC00513117,31/12/2013,0.09,68
USC00513117,1/12/2014,0,72
USC00513117,2/12/2014,0,71
USC00513117,3/12/2014,0.05,69
USC00513117,4/12/2014,1.35,67
USC00513117,5/12/2014,0.01,70
USC00513117,6/12/2014,0,72
USC00513117,7/12/2014,0,67
USC00513117,8/12/2014,0,67
USC00513117,9/12/2014,0,69
USC00513117,10/12/2014,0,67
USC00513117,11/12/2014,0.05,74
USC00513117,12/12/2014,0.12,70
USC00513117,13/12/2014,0.03,73
USC00513117,14/12/2014,0.11,71
USC00513117,15/12/2014,0,71
USC00513117,16/12/2014,0.03,71
USC00513117,17/12/2014,0.14,71
USC00513117,18/12/2014,0.09,72
USC00513117,19/12/2014,0.01,76
USC00513117,20/12/2014,0,78
USC00513117,21/12/2014,0,76
USC00513117,22/12/2014,0,73
USC00513117,23/12/2014,1.1,70
USC00513117,24/12/2014,1.24,68
USC00513117,25/12/2014,0.09,77
USC00513117,26/12/2014,0,66
USC00513117,27/12/2014,0,65
USC00513117,28/12/2014,0,69
USC00513117,29/12/2014,0,69
USC00513117,30/12/2014,0,66
USC00513117,31/12/2014,0.72,64
USC00513117,2/12/2015,0.03,74
USC00513117,3/12/2015,0.08,75
USC00513117,4/12/2015,0.01,80
USC00513117,5/12/2015,0.28,72
USC00513117,6/12/2015,0.52,73
USC00513117,7/12/2015,0,70
USC00513117,8/12/2015,0.08,69
USC00513117,9/12/2015,0.1,77
USC00513117,10/12/2015,0.08,74
USC00513117,11/12/2015,0,77
USC00513117,12/12/2015,0.62,72
USC00513117,13/12/2015,0,69
USC00513117,14/12/2015,0.69,69
USC00513117,15/12/2015,0.24,75
USC00513117,16/12/2015,0.08,75
USC00513117,17/12/2015,0.13,72
USC00513117,18/12/2015,0.28,73
USC00513117,19/12/2015,0.36,78
USC00513117,20/12/2015,0.2,75
USC00513117,21/12/2015,0.03,75
USC00513117,22/12/2015,0.01,74
USC00513117,23/12/2015,0.11,73
USC00513117,24/12/2015,0,70
USC00513117,25/12/2015,0.52,70
USC00513117,26/12/2015,0.19,72
USC00513117,27/12/2015,0.25,74
USC00513117,28/12/2015,0.4,74
USC00513117,29/12/2015,0.11,67
USC00513117,30/12/2015,0.03,74
USC00513117,31/12/2015,0.06,70
USC00513117,1/12/2016,0.33,73
USC00513117,2/12/2016,0.3,71
USC00513117,3/12/2016,0.04,71
USC00513117,4/12/2016,0.1,69
USC00513117,5/12/2016,0.34,68
USC00513117,6/12/2016,0.02,70
USC00513117,7/12/2016,0.17,71
USC00513117,8/12/2016,0.03,72
USC00513117,9/12/2016,0.34,70
USC00513117,10/12/2016,0.02,71
USC00513117,11/12/2016,0.02,72
USC00513117,12/12/2016,0.01,68
USC00513117,13/12/2016,0.1,68
USC00513117,14/12/2016,0.05,70
USC00513117,15/12/2016,0.02,70
USC00513117,16/12/2016,0.01,63
USC00513117,17/12/2016,0.11,71
USC00513117,18/12/2016,0.29,67
USC00513117,19/12/2016,0.21,69
USC00513117,20/12/2016,0.02,74
USC00513117,21/12/2016,0.03,72
USC00513117,22/12/2016,0.17,70
USC00513117,23/12/2016,0.1,69
USC00513117,24/12/2016,0.14,73
USC00513117,25/12/2016,0.03,74
USC00513117,26/12/2016,0.26,74
USC00513117,27/12/2016,0.03,73
USC00513117,28/12/2016,0.09,71
USC00513117,29/12/2016,0.18,72
USC00513117,30/12/2016,0.21,69
USC00513117,31/12/2016,0.62,71
USC00514830,1/12/2010,0.03,73
USC00514830,2/12/2010,0.06,73
USC00514830,3/12/2010,0.22,71
USC00514830,4/12/2010,0,72
