station,date,prcp,tobs
USC00514830,12/06/2016,0.26,77
USC00514830,13/06/2016,0.01,79
USC00514830,14/06/2016,0,79
USC00514830,15/06/2016,0.18,78
USC00514830,16/06/2016,0.06,79
USC00514830,17/06/2016,0.17,73
USC00514830,18/06/2016,0.03,78
USC00514830,19/06/2016,0.03,79
USC00514830,20/06/2016,0.47,80
USC00514830,21/06/2016,0,76
USC00514830,22/06/2016,0.08,79
USC00514830,23/06/2016,0.1,79
USC00514830,24/06/2016,0.03,77
USC00514830,25/06/2016,0.44,80
USC00514830,26/06/2016,0.03,79
USC00514830,27/06/2016,0,78
USC00514830,28/06/2016,0,78
USC00514830,29/06/2016,0.06,79
USC00514830,30/06/2016,0,78
USC00514830,1/06/2017,0,81
USC00514830,2/06/2017,0.15,78
USC00514830,3/06/2017,0.16,80
USC00514830,4/06/2017,0.05,79
USC00514830,5/06/2017,0.02,81
USC00514830,6/06/2017,0,80
USC00514830,7/06/2017,0,81
USC00514830,8/06/2017,0.01,79
USC00514830,9/06/2017,0,81
USC00514830,10/06/2017,0.53,78
USC00514830,11/06/2017,0.14,79
USC00514830,12/06/2017,0.35,79
USC00514830,13/06/2017,0.1,75
USC00514830,14/06/2017,0.21,79
USC00514830,15/06/2017,0.3,78
USC00514830,16/06/2017,0.02,80
USC00514830,17/06/2017,0.02,78
USC00514830,18/06/2017,0.18,77
USC00514830,19/06/2017,0.19,78
USC00514830,20/06/2017,0.17,79
USC00514830,23/06/2017,,76
USC00514830,26/06/2017,,80
USC00514830,29/06/2017,,76
USC00514830,30/06/2017,0,81
USC00517948,1/06/2010,0,77
USC00517948,2/06/2010,0,76
USC00517948,3/06/2010,0.14,77
USC00517948,4/06/2010,0,75
USC00517948,7/06/2010,0,76
USC00517948,8/06/2010,0,79
USC00517948,9/06/2010,0,79
USC00517948,10/06/2010,0,77
USC00517948,15/06/2010,0,76
USC00517948,16/06/2010,0,77
USC00517948,17/06/2010,0,76
USC00517948,18/06/2010,0.05,73
USC00517948,21/06/2010,0,76
USC00517948,22/06/2010,0.02,77
USC00517948,23/06/2010,0,77
USC00517948,24/06/2010,0.02,78
USC00517948,25/06/2010,0.1,77
USC00517948,28/06/2010,0,76
USC00517948,29/06/2010,0,78
USC00517948,30/06/2010,0,78
USC00517948,1/06/2011,,75
USC00517948,2/06/2011,0,77
USC00517948,3/06/2011,1.71,65
USC00517948,6/06/2011,0,76
USC00517948,7/06/2011,0,74
USC00517948,8/06/2011,0.05,76
USC00517948,9/06/2011,0,76
USC00517948,13/06/2011,0,77
USC00517948,14/06/2011,0,77
USC00517948,15/06/2011,,76
USC00517948,16/06/2011,,77
USC00517948,17/06/2011,,76
USC00517948,20/06/2011,,77
USC00517948,21/06/2011,0.25,74
USC00517948,22/06/2011,0.08,76
USC00517948,23/06/2011,0.22,73
USC00517948,24/06/2011,0.1,75
USC00517948,27/06/2011,,76
USC00517948,28/06/2011,,75
USC00517948,29/06/2011,,76
USC00517948,30/06/2011,0,75
USC00517948,1/06/2012,0.04,74
USC00517948,4/06/2012,,74
USC00517948,5/06/2012,0,74
USC00517948,6/06/2012,,74
USC00517948,7/06/2012,,76
